p,.lower,.upper,.width,.point,.interval,rhat,divs
0.1610101933118439,0.14095623647432556,0.18225333476170374,0.95,mean,qi,TRUE,FALSE
0.16151867476601636,0.14077039715544246,0.18295837597473533,0.95,mean,qi,TRUE,FALSE
0.05756042153989535,0.04457870439415577,0.0719311578944792,0.95,mean,qi,TRUE,FALSE
0.05824938213318112,0.04514766371178882,0.07272389449458394,0.95,mean,qi,TRUE,FALSE
0.059091976027746185,0.046162563824421285,0.07375858525776223,0.95,mean,qi,TRUE,FALSE
0.059699791770035635,0.04685503909135143,0.07425371173832729,0.95,mean,qi,TRUE,FALSE
0.060338380824973524,0.04718134673700543,0.07495435412568799,0.95,mean,qi,TRUE,FALSE
0.09423571911602809,0.07452790279668782,0.11430657563566214,0.95,mean,qi,TRUE,FALSE
0.09482090057858598,0.07510256207655124,0.1152005630049699,0.95,mean,qi,TRUE,FALSE
0.09539396693720742,0.07616637120508846,0.11661977778334101,0.95,mean,qi,TRUE,FALSE
0.09605474719016387,0.07636778754977305,0.11682618242276889,0.95,mean,qi,TRUE,FALSE
0.09681438984077798,0.07722155152161665,0.1173505010783914,0.95,mean,qi,TRUE,FALSE
0.1583525691563515,0.137995848254117,0.17934414927758258,0.95,mean,qi,TRUE,FALSE
0.15899987009506783,0.13882613617352793,0.18010220729473364,0.95,mean,qi,TRUE,FALSE
0.15977733559200694,0.13932949993852362,0.1808814804763883,0.95,mean,qi,TRUE,FALSE
0.16038576746071603,0.1394337052077593,0.18138177497115285,0.95,mean,qi,TRUE,FALSE
0.1609181068595376,0.14038184024737152,0.18240618444725806,0.95,mean,qi,TRUE,FALSE
